last_changed,aqi_sciosense,eco2,humidity,sound,temperature,tvoc,fteg,radar_sensor,occupancy
2024-12-13T17:46:54,168,1233,31.35,504.6488889,24.53,1380,16.48,3,4
2024-12-13T17:46:55,168,1233,31.35,457.4372727,24.53,1380,14.54,3,4
2024-12-13T17:46:56,168,1233,31.39,652.2988889,24.56,1380,10.92,3,4
2024-12-13T17:46:57,169,1239,31.39,662.015,24.56,1399,10.92,3,4
2024-12-13T17:46:58,169,1239,31.39,669.753,24.53,1399,9.67,3,4
2024-12-13T17:46:59,168,1235,31.39,509.787,24.53,1386,11.955,0,4
2024-12-13T17:47:00,168,1235,31.39,707.84875,24.53,1386,11.955,3,4
2024-12-13T17:47:01,168,1235,31.35,492.65,24.55,1386,14.67,3,4
2024-12-13T17:47:02,163,1222,31.35,680.3086667,24.55,1347,13.42,3,4
2024-12-13T17:47:03,163,1222,31.37,618.095,24.58,1347,10.73,3,4
2024-12-13T17:47:04,170,1238,31.37,503.4833333,24.58,1396,10.8,3,4
2024-12-13T17:47:05,170,1238,31.39,455.231,24.55,1396,11.05,0,4
2024-12-13T17:47:06,166,1231,31.39,548.9363636,24.55,1374,10.3,3,4
2024-12-13T17:47:07,166,1231,31.39,767.48125,24.59,1374,11.98,3,4
2024-12-13T17:47:08,166,1231,31.39,559.4145455,24.59,1374,17.22,3,4
2024-12-13T17:47:09,166,1231,31.37,670.8427273,24.53,1374,16.35,4,4
2024-12-13T17:47:10,171,1243,31.37,648.879,24.53,1411,26.52,4,4
2024-12-13T17:47:11,171,1243,31.37,486.3383333,24.53,1411,26.52,4,4
2024-12-13T17:47:12,167,1233,31.35,681.6127273,24.56,1380,41.69,4,4
2024-12-13T17:47:13,167,1233,31.35,506.4825,24.56,1380,41.69,4,4
2024-12-13T17:47:14,167,1233,31.39,514.14,24.56,1380,48.49,0,4
2024-12-13T17:47:15,167,1236,31.39,583.1746667,24.56,1390,50.43,4,4
2024-12-13T17:47:16,167,1236,31.37,709.4266667,24.53,1390,47.12,4,4
2024-12-13T17:47:17,162,1221,31.37,510.00875,24.53,1344,46.31,4,4
2024-12-13T17:47:18,162,1221,31.35,602.2466667,24.56,1344,42.38,0,4
2024-12-13T17:47:19,161,1215,31.35,517.523,24.56,1325,41.5,4,4
2024-12-13T17:47:20,161,1215,31.35,668.0577778,24.55,1325,43.94,4,4
2024-12-13T17:47:21,163,1221,31.35,537.5988889,24.55,1344,37.13,4,4
2024-12-13T17:47:22,163,1221,31.39,676.035,24.53,1344,37.94,4,4
2024-12-13T17:47:23,163,1221,31.39,423.562,24.53,1344,35.14,4,5
2024-12-13T17:47:24,169,1235,31.39,654.3007143,24.55,1386,27.46,5,5
2024-12-13T17:47:25,168,1235,31.39,717.378,24.55,1386,19.41,5,5
2024-12-13T17:47:26,168,1235,31.39,510.836,24.58,1386,12.67,0,5
2024-12-13T17:47:27,164,1224,31.39,623.15,24.58,1353,12.67,5,5
2024-12-13T17:47:28,164,1224,31.39,617.69375,24.58,1353,10.7,5,5
2024-12-13T17:47:29,164,1224,31.35,602.71,24.56,1353,10.7,5,5
2024-12-13T17:47:30,161,1216,31.35,719.714,24.56,1328,14.165,5,5
2024-12-13T17:47:31,161,1216,31.33,466.29,24.55,1328,14.165,5,5
2024-12-13T17:47:32,161,1213,31.33,511.2876923,24.55,1319,12.73,6,5
2024-12-13T17:47:33,161,1213,31.31,677.3266667,24.55,1319,9.8,6,5
2024-12-13T17:47:34,163,1218,31.31,591.5614286,24.55,1334,10.48,6,5
2024-12-13T17:47:35,163,1218,31.29,432.44625,24.55,1334,11.48,6,5
2024-12-13T17:47:36,160,1209,31.29,712.6825,24.55,1307,22.16,6,5
2024-12-13T17:47:37,160,1209,31.27,544.4681818,24.55,1307,48.05,6,5
2024-12-13T17:47:38,155,1193,31.27,728.1309091,24.55,1258,83.81,6,5
2024-12-13T17:47:39,155,1193,31.27,447.255,24.55,1258,158.64,6,5
2024-12-13T17:47:40,155,1191,31.27,629.5507143,24.56,1251,180.74,0,5
2024-12-13T17:47:41,155,1191,31.27,424.185,24.56,1251,204.14,6,5
2024-12-13T17:47:42,155,1191,31.27,668.38,24.58,1251,241.4,6,5
2024-12-13T17:47:43,156,1190,31.25,661.1382353,24.56,1248,372.21,0,5
2024-12-13T17:47:44,156,1190,31.25,514.6425,24.56,1248,372.21,6,5
2024-12-13T17:47:45,159,1198,31.25,649.2555556,24.56,1273,420.7,6,5
2024-12-13T17:47:46,159,1198,31.25,534.42,24.55,1273,415.64,0,5
2024-12-13T17:47:47,162,1208,31.25,832.9033333,24.55,1304,389.31,6,5
2024-12-13T17:47:48,162,1208,31.23,531.2827273,24.55,1304,349.86,6,5
2024-12-13T17:47:49,156,1192,31.23,490.4763636,24.55,1255,302.5,4,5
2024-12-13T17:47:50,156,1192,31.21,709.641,24.53,1255,265.74,4,5
2024-12-13T17:47:51,157,1195,31.21,522.6016667,24.53,1264,235.09,4,5
2024-12-13T17:47:52,157,1195,31.29,718.3583333,24.53,1264,204.58,4,5
2024-12-13T17:47:54,158,1198,31.25,623.5838095,24.56,1273,167.255,4,5
2024-12-13T17:47:55,158,1198,31.25,780.275,24.56,1273,167.255,0,5
2024-12-13T17:47:56,160,1203,31.29,632.246875,24.58,1288,101.165,4,5
2024-12-13T17:47:57,154,1188,31.29,598.593,24.58,1242,53.8,4,5
2024-12-13T17:47:58,154,1188,31.29,615.195,24.58,1242,24.4,4,5
2024-12-13T17:47:59,158,1196,31.31,680.5491667,24.55,1267,24.4,4,5
2024-12-13T17:48:00,158,1196,31.31,745.663,24.55,1267,9.92,3,5
2024-12-13T17:48:01,158,1196,31.29,472.1185714,24.56,1267,34.075,3,5
2024-12-13T17:48:02,156,1191,31.29,701.2454545,24.56,1251,34.075,3,5
2024-12-13T17:48:03,156,1191,31.29,558.46,24.56,1251,55.42,3,5
2024-12-13T17:48:04,160,1201,31.29,647.85,24.56,1282,67.78,4,5
2024-12-13T17:48:05,160,1201,31.27,675.1333333,24.52,1282,71.58,4,5
2024-12-13T17:48:06,162,1208,31.27,388.9275,24.52,1304,77.89,4,5
2024-12-13T17:48:07,162,1208,31.29,622.5275,24.55,1304,83.5,4,5
2024-12-13T17:48:08,160,1205,31.29,691.63,24.55,1294,82.69,4,5
2024-12-13T17:48:09,160,1205,31.29,590.495,24.55,1294,80.01,4,5
2024-12-13T17:48:10,162,1212,31.31,712.7858333,24.53,1316,80.57,0,5
2024-12-13T17:48:11,162,1212,31.31,554.7325,24.53,1316,80.57,5,5
2024-12-13T17:48:12,160,1207,31.29,636.5641667,24.55,1301,86.125,5,5
2024-12-13T17:48:13,160,1207,31.29,504.469,24.55,1301,80.82,5,5
2024-12-13T17:48:14,159,1205,31.29,449.3036364,24.55,1294,64.53,0,5
2024-12-13T17:48:15,159,1205,31.29,675.955,24.55,1294,61.54,5,5
2024-12-13T17:48:16,159,1205,31.25,547.098,24.56,1294,54.11,5,5
2024-12-13T17:48:17,162,1213,31.25,741.874,24.56,1319,54.11,5,5
2024-12-13T17:48:18,162,1213,31.29,558.46,24.55,1319,50.43,0,5
2024-12-13T17:48:19,162,1214,31.29,763.0371429,24.55,1322,45.62,6,5
2024-12-13T17:48:20,162,1214,31.31,575.465,24.55,1322,35.51,6,5
